feat_1,feat_2,feat_3,feat_4,feat_5,class
0.8304922428653515,0.5,0.234043,0.14337086645837846,0.2597994727791362,1
0.0339015514269297,0.9999999999999999,0.553191,0.025307792247966115,0.2683200340109645,0
0.8643937942922812,0.0,0.765957,0.43232050607851025,0.8057187298330383,1
0.11875119708868032,0.33333333333333337,0.93617,0.3394492220125591,0.5527354514662773,1
0.813637234246313,0.16666666666666666,0.170213,0.010215918581990308,0.13898799560606856,0
0.08484964566175063,0.8333333333333334,0.340426,0.1687946608098493,0.4351443238475159,0
0.8643937942922812,0.0,0.574468,0.18864648745630588,0.4118534320907197,1
0.8475387856732427,0.8333333333333334,0.851064,0.18864648745630588,0.5762160001731097,1
0.09327714997126987,0.9999999999999999,0.574468,0.15474680607541683,0.2834684055705683,1
0.10170465428078912,0.0,0.170213,0.012071952238067257,0.08918713540360655,0
0.9747174870714423,0.9999999999999999,0.808511,0.1336189562904074,0.684908525525407,1
0.8559662899827618,0.9999999999999999,0.085106,0.01091193120301917,0.20942964172656559,0
0.8220647385558322,0.33333333333333337,0.021277,0.024611779626937252,0.5209239984776529,0
0.9408159356445126,0.33333333333333337,0.87234,0.007195997154081729,0.6801734661016842,0
0.9915724956904808,0.16666666666666666,0.446809,0.13129891422031117,0.7127435468904534,1
0.16950775713464852,0.16666666666666666,0.744681,0.01369984842391811,0.8299566334745789,0
0.813637234246313,0.16666666666666666,0.106383,0.029603736814427573,0.26794072011089204,0
0.8898678414096916,0.5,0.12766,0.13953893030593625,0.29085357083305224,0
0.01704654280789121,0.6666666666666666,0.510638,0.5899712314783307,0.5504633866621522,1
0.11013215859030837,0.16666666666666666,0.531915,0.3170414823522133,0.5697778467953702,1
0.18655429994253975,0.5,0.297872,0.012651962755591328,0.5979921820604891,0
0.8475387856732427,0.8333333333333334,0.531915,0.012071952238067257,0.4264341056656513,0
0.11013215859030837,0.16666666666666666,0.319149,0.21291026077272865,0.6226093996021023,0
0.8898678414096916,0.5,0.702128,0.5462036378259658,0.76349141897766,1
0.957670944263551,0.6666666666666666,0.510638,0.02774383642156711,0.6171182581091075,0
0.1356062057077188,0.6666666666666666,0.361702,0.21175023973768062,0.6551782075254351,1
0.8643937942922812,0.0,0.595745,0.18156649240572895,0.40901366930192246,1
0.9237693928366213,0.0,0.702128,0.47910415442200016,0.7441769588444419,1
0.8475387856732427,0.8333333333333334,0.808511,0.18864648745630588,0.6377577711617062,1
0.16108025282512928,0.0,0.425532,0.7281181365422092,0.6962688495460326,1
0.9747174870714423,0.9999999999999999,0.787234,0.1336189562904074,0.7148259547445422,1
0.11875119708868032,0.33333333333333337,0.851064,0.4453204751446159,0.6818778329211371,1
0.0339015514269297,0.9999999999999999,0.361702,0.025307792247966115,0.2857404703746934,0
0.7965906914384218,0.9999999999999999,0.680851,0.17773455625328674,0.3957580486463713,1
0.025474047117410453,0.8333333333333334,0.085106,0.12061898722430167,0.24635419517354884,0
0.07623060716337866,0.6666666666666666,0.808511,0.3132134129365546,0.6053773473229731,0
0.16108025282512928,0.0,0.276596,0.6865584495932192,0.5173256078887108,1
0.813637234246313,0.16666666666666666,0.893617,0.01091193120301917,0.5074799937375021,0
0.9915724956904808,0.16666666666666666,0.468085,0.16148266155226285,0.6860439214947514,1
0.9492434399540318,0.5,0.425532,0.03923964487889381,0.6974055183808133,1
0.06780310285385942,0.5,0.361702,0.349317134284035,0.6161712462243629,1
0.8643937942922812,0.0,0.617021,0.18864648745630588,0.40768734351710545,1
0.09327714997126987,0.9999999999999999,0.446809,0.17471463482537816,0.4040902257935998,1
0.8475387856732427,0.8333333333333334,0.787234,0.21557830915333928,0.6919143768878186,1
0.957670944263551,0.6666666666666666,0.234043,0.13814690506387853,0.2876344941441825,1
0.9915724956904808,0.16666666666666666,0.021277,0.16148266155226285,0.5642867053023756,1
0.9747174870714423,0.9999999999999999,0.042553,0.006035976119033615,0.3107357289509425,0
0.8304922428653515,0.5,1.0,0.01857580350790361,0.6000758627800145,0
0.957670944263551,0.6666666666666666,0.12766,0.0054559656015095714,0.2577157920596108,0
0.898295345719211,0.6666666666666666,0.893617,0.13303894577288336,0.642870871620065,0
0.01704654280789121,0.6666666666666666,0.276596,0.1404708138707582,0.44385454202938035,1
0.17793526144416777,0.33333333333333337,0.829787,0.012651962755591328,0.6938084006573078,0
0.8475387856732427,0.8333333333333334,0.829787,0.18864648745630588,0.6148449204395459,1
